,sent1,sent2,lemma,ground_truth
423,To admit a serious thought into the mind .,To admit evidence in the trial of a cause .,admit,T
424,His date never stopped talking .,We have n't heard from them to date .,date,F
425,We had a feast to celebrate the harvest .,The Thanksgiving feast .,feast,F
426,A section of a fishing rod .,The finance section of the company .,section,F
427,A homeless tramp .,The tramp of military boots .,tramp,F
428,The battery had a short life .,He lived a long and happy life .,life,T
429,Make an estimate .,Can you make me an omelette ?,make,F
430,The sale will run for ten days .,They ran twenty blood tests on me and they still do n't know what 's wrong .,run,F
431,Break the cycle of poverty .,The first winter storm broke over New York .,break,F
432,A notice of sale .,"He took no notice of the changes , and went on as though nothing had happened .",notice,F
433,Everyone hopes for a better tomorrow .,Tomorrow 's world .,tomorrow,T
434,Break a promise .,The surf broke .,break,F
435,A master of the violin .,One of the old masters .,master,T
436,He drank a mixture of beer and lemonade .,A gradual mixture of cultures .,mixture,F
437,Can I keep my old stuffed animals ?,Keep smiling .,keep,F
438,The glass from the shattered windshield cut into her forehead .,The new tooth is cutting .,cut,F
439,I 've been suffering your insults for years .,He suffered the penalty .,suffer,T
440,He placed a phone call to London .,I received several phone calls today .,call,T
441,Service my truck .,The washing machine needs to be serviced .,service,T
442,I had to break a $ 100 bill just to buy the candy .,His voice is breaking -- he should no longer sing in the choir .,break,F
443,Make one 's way into the forest .,Make yourself clear .,make,F
444,Turn cartwheels .,Turn a somersault .,turn,T
445,The emission of heat from a fire .,The emission was mostly blood .,emission,F
446,I have some free time tonight so I think I 'll catch a movie .,The fashion did not catch .,catch,F
447,To repair a shattered fortune .,To repair to sanctuary for safety .,repair,F
448,He 's a sorry excuse of a doctor .,He had to get his mother to write an excuse for him .,excuse,F
449,The local Mafia wo n't touch gambling .,Are you all right ? You 've hardly touched your lunch .,touch,F
450,It made a dent in my bank account .,The crash produced a dent in the left side of the car .,dent,F
451,Where do you keep your gardening tools ?,These potatoes keep for a long time .,keep,F
452,A cabbage patch .,A briar patch .,patch,T
453,Take a risk .,I 'll take that plate off the table .,take,F
454,I want to see whether she speaks French .,I saw their laughing and joking .,see,F
455,He overstepped his place .,It is really not my place to say what is right and wrong in this case .,place,T
456,The general ordered the colonel to hold his position at all costs .,He held the governorship for almost a decade .,hold,F
457,The break in the eighth frame cost him the match .,They hoped to avoid a break in relations .,break,F
458,In line with .,He got out of line .,line,T
459,Under the head of minor Roman poets .,The head of the hammer .,head,F
460,Come into the room .,Come down here !,come,T
461,The team enjoyed a brief run of victories .,"Yesterday we did a run of 12,000 units .",run,F
462,How should I take this message ?,"Looking at him as he came into the room , I took him for his father .",take,T
463,He does not have a grain of sense .,A grain of sand .,grain,F
464,We must strike the enemy 's oil fields .,"In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 .",strike,T
465,Fill a container .,The liquid fills the container .,fill,F
466,We like to summer in the Mediterranean .,We summered in Kashmir .,summer,T
467,I felt the same way .,That 's the way it is .,way,T
468,The green party took 12 % of the vote .,In 1992 Perot tried to organize a third party at the national level .,party,T
469,Unauthorized reproduction of this article is prohibited .,Gutenberg 's reproduction of holy texts was far more efficient .,reproduction,T
470,A leak in a boat .,A leak in a roof .,leak,T
471,A grain of salt .,A grain of sand .,grain,T
472,He managed to multiply his profits .,"He had been multiplying , but it occurred to him he needed to resolve the exponents , first .",multiply,T
473,It was great to feel my baby moving about inside .,I felt healthy and very feminine carrying the baby .,baby,T
474,You should see a lawyer .,We had to see a psychiatrist .,see,T
475,He left school before the end of term .,He was sentenced to a term of six years in prison .,term,T
476,She did n't get his name when they met the first time .,Her childish behavior really get to me .,get,F
477,"Now that we 're all in agreement , we can put that issue to rest .",The boulder came to rest just behind the house after rolling down the mountain .,rest,T
478,He gave the door a hard push .,The push of the water on the walls of the tank .,push,F
479,Heat the house .,Heat the water on the stove .,heat,F
480,Draw a conclusion .,"She drew $ 2,000 from the account .",draw,F
481,Fall into a trap .,The barometer is falling .,fall,F
482,The frequency of modulation was 40 cycles per second .,The frequency of his seizures increased as he grew older .,frequency,T
483,They were at the head of the attack .,The head of the column advanced boldly .,head,T
484,How should I take this message ?,He was often taken to be a man of means .,take,T
485,That 's the size of the situation .,A wolf is about the size of a large dog .,size,F
486,Drill for oil .,Drill a small hole to start the screw in the right direction .,drill,T
487,"Here I stand , wondering what to do next .",There stood on the corner a statue .,stand,F
488,I feel I hardly know him ; I just wish he 'd communicate with me a little more .,Do you communicate well with your advisor ?,communicate,T
489,He ate a third of the pie .,A simple harmony written in major thirds .,third,T
490,Renewed jitters in the wake of a blip in retail sales .,You ca n't react to the day-to-day blips .,blip,T
491,The reason that war was declared .,They had good reason to rejoice .,reason,F
492,Many readers find the first book of A Tale of Two Cities to be confusing .,Genesis is the first book of the Bible .,book,T
493,Cut orders .,Cut a caper .,cut,F
494,Can you wash away the spots on the windows ?,He washed the dirt from his coat .,wash,T
495,A length of tubing .,A length of timber .,length,T
496,An occasion arranged to honor the president .,There was no occasion for complaint .,occasion,F
497,"At the start of their turn , each player must draw a card .",The session was drawn to a close .,draw,F
498,They speak a strange dialect .,Although I do n't speak Chinese I managed to talk with the villagers using signs and gestures .,speak,T
499,These shoes come in three colors .,He came through the door .,come,F
500,Let the dogs run free .,She runs around telling everyone of her troubles .,run,T
501,Baby rabbits .,When is your baby due ?,baby,T
502,They stopped at an open space in the jungle .,It all happened in the space of 10 minutes .,space,F
